Designator,Mid X,Mid Y,Layer,Rotation
C1,137.287,-87.885,T,90
C3,134.605,-58.674,T,0
C4,76.0095,-104.019,T,270
C5,109.474,-109.1565,T,270
C6,82.1055,-81.9635,T,90
C7,136.921,-109.2835,T,0
C9,76.073,-121.5385,T,270
C10,76.0095,-42.9265,T,270
C11,118.11,-117.735,T,270
C13,92.3925,-54.991,T,0
C14,133.35,-118.37,T,270
C15,123.3815,-105.156,T,180
C16,132.08,-98.2195,T,270
C17,141.732,-63.0705,T,90
D1,129.0955,-81.9775,T,270
D2,129.0955,-76.963,T,270
D3,126.238,-82.041,T,90
D4,126.238,-76.962,T,90
D5,108.5215,-51.2435,T,270
D6,107.1245,-46.102,T,270
D7,84.9005,-97.155,T,0
D8,84.964,-65.278,T,180
D9,104.648,-84.1385,T,90
Q6,139.954,-51.562,T,90
R1,134.493,-95.646,T,270
R2,132.08,-102.0295,T,90
R3,129.2225,-102.0295,T,90
R4,136.1925,-111.76,T,180
R5,125.745,-110.998,T,0
R6,140.97,-59.69,T,0
R7,141.12,-57.15,T,0
R8,115.1405,-105.029,T,0
R9,132.1435,-94.5365,T,90
R10,82.057,-106.8555,T,0
R11,100.2665,-99.7585,T,90
R12,92.187,-97.155,T,180
R13,104.14,-119.0475,T,90
R14,81.2165,-103.871,T,90
R15,104.125,-66.8655,T,180
R16,68.8975,-87.016,T,90
R17,68.961,-76.433,T,90
R18,79.1995,-81.915,T,0
R19,72.4535,-81.803,T,270
R20,107.2515,-57.6095,T,90
R21,72.3415,-95.8215,T,0
R22,113.8555,-90.9805,T,270
R23,73.787,-92.0265,T,270
R24,96.9795,-57.277,T,0
R25,72.3415,-98.679,T,0
R26,73.294,-66.2305,T,180
R27,74.168,-72.248,T,90
R29,73.294,-68.8975,T,180
R30,101.1705,-86.36,T,0
R31,97.282,-86.2965,T,180
R32,105.649,-91.8845,T,0
R33,104.5845,-88.758,T,270
R34,135.113,-52.705,T,0
R35,130.3805,-105.41,T,180
R36,135.1915,-48.8465,T,90
R37,110.251,-44.1325,T,0
R38,126.6825,-49.037,T,90
R39,115.5065,-109.459,T,90
R40,116.7765,-90.297,T,90
R41,104.79,-115.6335,T,0
R42,99.06,-119.1745,T,90
R43,97.648,-115.7605,T,180
R44,105.2345,-80.5815,T,0
R45,98.425,-46.355,T,90
R46,134.4295,-99.329,T,270
R47,117.9195,-101.6635,T,0
R48,134.366,-103.0455,T,90
R49,118.8235,-111.1885,T,180
R166,64.7065,-87.016,T,90
R177,64.7065,-76.433,T,90
RG1,98.7585,-89.6595,T,0
SW1,125.73,-117.094,T,0
TR1,131.5085,-109.982,T,90
TR2,126.4045,-97.3895,T,90
TR3,120.65,-97.409,T,90
TR4,128.4605,-56.515,T,270
TR5,101.346,-111.379,T,0
TR10,127.127,-90.6145,T,90
TR11,121.412,-90.043,T,180
TR12,126.619,-64.4525,T,180
TR14,99.0473,-63.8175,T,180
TR15,108.077,-62.5475,T,180
TR16,102.489,-55.0545,T,180
TR17,102.743,-48.895,T,270
TR18,78.4225,-93.2815,T,0
TR19,78.9305,-67.2465,T,90
TR20,110.4265,-87.122,T,0
TR21,109.728,-117.094,T,0
