Comment,Designator,Footprint,LCSC
220UF,"C10,C9",Capacitor_SMD:CP_Elec_10x10,C176670
47/25,"C14,C1,C15,C11,C4,C5",Capacitor_SMD:CP_Elec_6.3x5.3,C249976
100PF,"C16,C3",Capacitor_SMD:C_0805_2012Metric,C1790
100NF,"C7,C17,C6,C13",Capacitor_SMD:C_0805_2012Metric,C49678
1N4148,"D3,D4,D1,D2,D9,D6,D5,D7,D8",Diode_SMD:D_SOD-123,C81598
1K1,"R1,R46",Resistor_SMD:R_0805_2012Metric,
680R,R10,Resistor_SMD:R_0805_2012Metric,
270R,"R11,R23,R27",Resistor_SMD:R_0805_2012Metric,
16R,R14,Resistor_SMD:R_0805_2012Metric,
0R1,"R16,R17,R166,R177",Resistor_SMD:R_2512_6332Metric,C78195
22K,"R21,R29",Resistor_SMD:R_0805_2012Metric,
3K,R30,Resistor_SMD:R_0805_2012Metric,
680K,R32,Resistor_SMD:R_0805_2012Metric,
1K,"R35,R45,R31,R20",Resistor_SMD:R_0805_2012Metric,
100R,"R4,R2,R3,R47,R24,R12,R25,R26,R22",Resistor_SMD:R_0805_2012Metric,
110R,R40,Resistor_SMD:R_0805_2012Metric,
100K,"R48,R33,R44",Resistor_SMD:R_0805_2012Metric,
10K,"R49,R39,R42,R43",Resistor_SMD:R_0805_2012Metric,
2K2,"R5,R8,R41,R36,R34,R15",Resistor_SMD:R_0805_2012Metric,
68R,"R6,R7,R13",Resistor_SMD:R_0805_2012Metric,
10R,"R9,R38,R37,R18,R19",Resistor_SMD:R_0805_2012Metric,
LM385M3X-2.5,RG1,Package_TO_SOT_SMD:SOT-23,C83345
SW_SPST,SW1,Package_SO:SOP-4_3.8x4.1mm_P2.54mm,C459807
Q_PNP_EBC,"TR1,TR3,TR2,TR21,TR5,TR14,TR19",Package_TO_SOT_SMD:SOT-89-3,C24278
Q_NPN_EBC,"TR10,TR11,TR20,TR4,TR12,Q6,TR15,TR16,TR18,TR17",Package_TO_SOT_SMD:SOT-89-3,C9634
