Designator,Mid X,Mid Y,Layer,Rotation
C1,165.4048,-98.2101,T,270
C3,150.9037,-57.5564,T,0
C4,117.3226,-100.076,T,270
C5,142.494,-91.5279,T,270
C6,87.2513,-83.9724,T,0
C7,171.069,-123.6703,T,90
C9,93.409,-123.063,T,180
C10,93.3328,-51.7144,T,0
C11,147.8534,-122.0607,T,270
C13,122.2502,-47.8305,T,90
C14,164.6936,-122.1877,T,270
C15,156.3761,-96.4184,T,180
C16,167.9448,-74.1449,T,270
C17,170.2054,-47.5973,T,90
D1,143.6614,-69.9008,T,180
D2,149.0208,-69.9008,T,180
D3,143.6634,-66.9798,T,0
D4,149.0228,-66.9544,T,0
D5,131.1656,-51.18,T,270
D6,127.635,-47.88,T,270
D7,103.2012,-104.902,T,0
D8,103.2256,-70.0024,T,180
D9,155.0406,-116.1796,T,0
Q6,159.0294,-49.1236,T,180
R1,165.481,-73.9901,T,270
R2,162.4584,-74.0641,T,90
R3,159.639,-74.0895,T,90
R4,168.6306,-123.6449,T,90
R5,146.9113,-112.4204,T,0
R6,167.6908,-47.6273,T,90
R7,165.1508,-47.6273,T,90
R8,152.2499,-89.8144,T,0
R9,169.5196,-100.4039,T,270
R10,116.4567,-108.4326,T,180
R11,116.4567,-106.0196,T,0
R12,127.9167,-91.6178,T,0
R13,134.874,-123.3401,T,90
R14,116.4567,-110.9726,T,180
R15,127.9167,-93.9292,T,180
R16,82.804,-104.7032,T,90
R17,82.804,-78.0752,T,90
R18,87.5284,-87.5769,T,90
R19,94.5896,-88.2881,T,270
R20,91.6686,-105.9919,T,90
R21,95.25,-115.9741,T,90
R22,127.6327,-106.0196,T,0
R23,93.7768,-109.2731,T,270
R24,111.5314,-69.088,T,0
R25,81.8642,-122.4003,T,90
R26,82.6008,-54.1251,T,90
R27,89.6366,-63.7009,T,90
R29,89.662,-59.8655,T,90
R30,116.6899,-63.754,T,180
R31,96.5962,-60.1449,T,270
R32,133.0452,-105.9411,T,270
R33,133.1214,-101.4245,T,270
R34,149.4259,-49.1236,T,0
R35,160.2994,-102.4128,T,180
R36,154.7368,-47.8767,T,90
R37,137.4625,-47.371,T,0
R38,146.2532,-47.7243,T,90
R39,145.6436,-98.8291,T,90
R40,145.3111,-74.1426,T,180
R41,136.9799,-119.9896,T,0
R42,131.6482,-123.317,T,90
R43,131.6482,-119.1745,T,90
R44,131.1656,-55.8777,T,90
R45,124.968,-47.752,T,90
R46,166.3977,-78.4098,T,0
R47,149.098,-76.0499,T,270
R48,164.465,-87.4291,T,90
R49,146.9159,-115.4938,T,0
R166,82.804,-96.372,T,90
R177,82.804,-86.4616,T,90
RG1,111.0844,-64.6778,T,270
SW1,157.8424,-120.9548,T,0
TR1,164.3003,-108.3056,T,0
TR2,163.957,-69.3166,T,270
TR3,155.448,-71.501,T,90
TR4,149.9884,-53.2882,T,270
TR5,140.3096,-114.7703,T,270
TR10,163.957,-60.833,T,90
TR11,155.4988,-65.3288,T,180
TR12,155.5496,-55.9054,T,90
TR14,122.8475,-98.171,T,0
TR15,128.8542,-97.8662,T,90
TR16,121.1834,-92.456,T,90
TR17,126.492,-53.1876,T,270
TR18,97.1042,-96.0882,T,180
TR19,97.0534,-79.883,T,0
TR20,122.936,-106.0196,T,0
TR21,141.8082,-120.65,T,90
