Designator,Mid X,Mid Y,Layer,Rotation
C1,136.9695,-87.9535,T,270
C2,118.745,-80.01,T,90
C3,132.1285,-57.785,T,0
C4,76.0095,-104.019,T,90
C5,109.474,-109.1565,T,90
C6,82.1055,-81.9635,T,90
C7,136.921,-109.2835,T,0
C9,76.073,-121.5385,T,90
C10,76.0095,-42.9265,T,90
C11,118.11,-117.735,T,90
C12,118.745,-56.515,T,90
C13,92.3925,-54.991,T,0
C14,133.35,-118.37,T,90
C15,123.565,-104.8385,T,0
C16,132.08,-98.2195,T,270
C17,141.732,-63.0705,T,90
D1,129.0955,-81.9775,T,270
D2,129.0955,-76.963,T,270
D3,126.238,-82.041,T,90
D4,126.238,-76.962,T,90
D5,108.5215,-51.2435,T,270
D6,107.1245,-46.102,T,270
D7,84.9005,-97.155,T,0
D8,84.964,-65.278,T,180
D9,104.648,-84.1385,T,90
Q6,139.573,-51.562,T,0
R1,134.493,-95.646,T,270
R2,132.08,-102.0295,T,90
R3,128.905,-102.0295,T,90
R4,136.1925,-111.76,T,180
R5,125.745,-110.998,T,0
R6,140.97,-59.69,T,0
R7,141.12,-57.15,T,0
R8,115.1405,-105.029,T,0
R9,132.1435,-94.5365,T,90
R10,82.057,-106.8555,T,0
R11,100.2665,-99.7585,T,90
R12,92.187,-97.155,T,180
R13,104.14,-119.0475,T,90
R14,81.2165,-103.871,T,90
R15,104.125,-66.8655,T,180
R16,68.8975,-87.016,T,90
R17,68.961,-76.433,T,90
R18,79.1995,-81.915,T,0
R19,72.4535,-81.803,T,270
R20,107.2515,-57.389,T,90
R21,72.3415,-95.8215,T,0
R22,113.8555,-90.9805,T,270
R23,73.787,-92.0265,T,270
R24,96.9795,-57.277,T,0
R25,72.3415,-98.679,T,0
R26,73.294,-66.2305,T,180
R27,74.168,-72.248,T,90
R29,73.294,-68.8975,T,180
R30,101.1705,-86.36,T,0
R31,97.282,-86.2965,T,180
R32,105.649,-91.8845,T,0
R33,104.5845,-88.758,T,270
R34,135.113,-51.689,T,0
R35,130.3805,-105.41,T,180
R36,135.1915,-48.8465,T,90
R37,110.251,-44.1325,T,0
R38,128.5875,-48.9735,T,90
R39,115.5065,-109.459,T,90
R40,116.7765,-90.297,T,90
R41,104.79,-115.6335,T,0
R42,99.06,-119.1745,T,90
R43,97.648,-115.7605,T,180
R44,105.2345,-80.5815,T,0
R45,98.425,-46.355,T,90
R46,134.4295,-99.329,T,270
R47,117.9195,-101.6635,T,0
R48,134.366,-103.0455,T,90
R49,118.8235,-111.1885,T,180
R166,64.7065,-87.016,T,90
R177,64.7065,-76.433,T,90
RG1,98.2345,-91.4825,T,270
SW1,125.73,-117.094,T,180
TR1,131.5085,-109.22,T,180
TR2,128.3335,-97.385,T,180
TR3,121.8565,-97.79,T,180
TR4,129.9972,-53.721,T,0
TR5,102.362,-111.379,T,180
TR10,127.6985,-91.44,T,0
TR11,121.285,-91.44,T,0
TR12,130.1115,-61.849,T,0
TR14,99.314,-61.2775,T,270
TR15,106.4895,-62.738,T,0
TR16,102.4255,-55.0545,T,0
TR17,102.362,-49.0855,T,0
TR18,78.5495,-92.71,T,180
TR19,78.6765,-71.247,T,0
TR20,109.5375,-86.995,T,180
TR21,109.9185,-117.475,T,180
