Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47/25,CP_Elec_6.3x5.3,136.9695,-87.9535,270,top
C2,1000UF,CP_Elec_10x10,118.745,-80.01,90,top
C3,100PF,C_0805_2012Metric,132.1285,-57.785,0,top
C4,47/25,CP_Elec_6.3x5.3,76.0095,-104.019,90,top
C5,47/25,CP_Elec_6.3x5.3,109.474,-109.1565,90,top
C6,100NF,C_0805_2012Metric,82.1055,-81.9635,90,top
C7,100NF,C_0805_2012Metric,136.921,-109.2835,0,top
C9,220UF,CP_Elec_10x10,76.073,-121.5385,90,top
C10,220UF,CP_Elec_10x10,76.0095,-42.9265,90,top
C11,47/25,CP_Elec_6.3x5.3,118.11,-117.735,90,top
C12,1000/40,CP_Elec_16x17.5,118.745,-56.515,90,top
C13,100NF,C_0805_2012Metric,92.3925,-54.991,0,top
C14,47/25,CP_Elec_6.3x5.3,133.35,-118.37,90,top
C15,47/25,CP_Elec_6.3x5.3,123.565,-104.8385,0,top
C16,100PF,C_0805_2012Metric,132.08,-98.2195,270,top
C17,100NF,C_0805_2012Metric,141.732,-63.0705,90,top
D1,1N4148,D_SOD-123,129.0955,-81.9775,270,top
D2,1N4148,D_SOD-123,129.0955,-76.963,270,top
D3,1N4148,D_SOD-123,126.238,-82.041,90,top
D4,1N4148,D_SOD-123,126.238,-76.962,90,top
D5,1N4148,D_SOD-123,108.5215,-51.2435,270,top
D6,1N4148,D_SOD-123,107.1245,-46.102,270,top
D7,1N4148,D_SOD-123,84.9005,-97.155,0,top
D8,1N4148,D_SOD-123,84.964,-65.278,180,top
D9,1N4148,D_SOD-123,104.648,-84.1385,90,top
Q6,Q_NPN_EBC,SOT-89-3,139.573,-51.562,0,top
R1,1K1,R_0805_2012Metric,134.493,-95.646,270,top
R2,100R,R_0805_2012Metric,132.08,-102.0295,90,top
R3,100R,R_0805_2012Metric,128.905,-102.0295,90,top
R4,100R,R_0805_2012Metric,136.1925,-111.76,180,top
R5,2K2,R_0805_2012Metric,125.745,-110.998,0,top
R6,68R,R_0805_2012Metric,140.97,-59.69,0,top
R7,68R,R_0805_2012Metric,141.12,-57.15,0,top
R8,2K2,R_0805_2012Metric,115.1405,-105.029,0,top
R9,10R,R_0805_2012Metric,132.1435,-94.5365,90,top
R10,680R,R_0805_2012Metric,82.057,-106.8555,0,top
R11,270R,R_0805_2012Metric,100.2665,-99.7585,90,top
R12,100R,R_0805_2012Metric,92.187,-97.155,180,top
R13,68R,R_0805_2012Metric,104.14,-119.0475,90,top
R14,16R,R_0805_2012Metric,81.2165,-103.871,90,top
R15,2K2,R_0805_2012Metric,104.125,-66.8655,180,top
R16,0R1,R_2512_6332Metric,68.8975,-87.016,90,top
R17,0R1,R_2512_6332Metric,68.961,-76.433,90,top
