Designator,Mid X,Mid Y,Layer,Rotation,,
C1,75.819,-29.972,T,180,,
C2,75.7175,-42.291,T,180,,
C3,75.7175,-54.61,T,180,,
C4,75.7175,-66.929,T,180,,
C5,75.7175,-79.248,T,180,,
C6,75.6665,-91.567,T,180,,
C7,75.7935,-103.886,T,180,,
C8,75.7175,-116.205,T,180,,
C9,75.7175,-128.524,T,180,,
C10,75.7175,-140.843,T,180,,
C11,113.4595,-174.752,T,180,,
C12,75.7175,-153.162,T,180,,
C13,75.6665,-165.481,T,180,,
C14,113.411,-171.577,T,180,,
C15,90.932,-154.178,T,0,,
C16,97.917,-162.56,T,90,,
C17,117.475,-34.5185,T,270,,
C18,117.475,-38.481,T,270,,
C19,104.013,-71.374,T,90,,
C20,104.013,-67.4115,T,270,,
C21,116.8145,-65.405,T,180,,
C22,106.81,-26.67,T,0,,
C23,106.169,-29.972,T,0,,
Q1,48.53,-29.911,T,0,,0
Q2,52.705,-29.972,T,0,,
Q3,72.374,-34.29,T,0,,
Q4,56.896,-29.845,T,0,,
Q5,61.087,-29.972,T,0,,
Q6,68.056,-34.29,T,0,,
Q7,48.514,-42.291,T,0,,
Q8,52.689,-42.418,T,0,,
Q9,72.406,-46.609,T,0,,
Q10,56.912,-42.357,T,0,,
Q11,61.071,-42.291,T,0,,
Q12,68.199,-46.609,T,0,,
Q13,48.53,-54.676,T,0,,
Q14,52.689,-54.671,T,0,,
Q15,72.406,-58.989,T,0,,
Q16,56.88,-54.671,T,0,,
Q17,61.103,-54.676,T,0,,
Q18,68.183,-58.928,T,0,,
Q19,48.53,-66.995,T,0,,
Q20,52.689,-66.99,T,0,,
Q21,72.406,-71.247,T,0,,
Q22,56.896,-66.99,T,0,,
Q23,61.087,-66.929,T,0,,
Q24,68.183,-71.247,T,0,,
Q25,48.498,-79.314,T,0,,
Q26,52.721,-79.314,T,0,,
Q27,72.406,-83.566,T,0,,
Q28,56.912,-79.314,T,0,,
Q29,61.071,-79.248,T,0,,
Q30,68.215,-83.632,T,0,,
Q31,48.53,-91.633,T,0,,
Q32,52.689,-91.628,T,0,,
Q33,72.406,-95.885,T,0,,
Q34,56.88,-91.628,T,0,,
Q35,61.071,-91.567,T,0,,
Q36,68.183,-95.885,T,0,,
Q37,48.498,-103.952,T,0,,
Q38,52.721,-103.952,T,0,,
Q39,72.406,-108.27,T,0,,
Q40,56.912,-103.952,T,0,,
Q41,61.103,-103.952,T,0,,
Q42,68.215,-108.27,T,0,,
Q43,48.498,-116.271,T,0,,
Q44,52.689,-116.266,T,0,,
Q45,72.406,-120.589,T,0,,
Q46,56.88,-116.266,T,0,,
Q47,61.071,-116.205,T,0,,
Q48,68.215,-120.589,T,0,,
Q49,48.498,-128.59,T,0,,
Q50,52.689,-128.585,T,0,,
Q51,72.406,-132.781,T,0,,
Q52,56.896,-128.585,T,0,,
Q53,61.071,-128.524,T,0,,
Q54,68.215,-132.908,T,0,,
Q55,48.498,-140.909,T,0,,
Q56,52.689,-140.904,T,0,,
Q57,72.406,-145.227,T,0,,
Q58,56.88,-140.904,T,0,,
Q59,61.071,-140.843,T,0,,
Q60,68.215,-145.227,T,0,,
Q61,48.498,-153.228,T,0,,
Q62,52.689,-153.223,T,0,,
Q63,72.406,-157.48,T,0,,
Q64,56.88,-153.223,T,0,,
Q65,61.071,-153.162,T,0,,
Q66,68.199,-157.48,T,0,,
Q67,48.498,-165.547,T,0,,
Q68,52.689,-165.542,T,0,,
Q69,72.406,-169.799,T,0,,
Q70,56.88,-165.542,T,0,,
Q71,61.071,-165.481,T,0,,
Q72,68.183,-169.799,T,0,,
Q73,48.514,-34.29,T,180,,
Q74,52.705,-34.29,T,180,,
Q75,56.912,-34.29,T,180,,
Q76,61.087,-34.29,T,180,,
Q77,48.498,-46.67,T,180,,
Q78,52.689,-46.67,T,180,,
Q79,56.912,-46.609,T,180,,
Q80,61.071,-46.543,T,180,,
Q81,48.514,-58.928,T,180,,
Q82,52.705,-58.928,T,180,,
Q83,56.88,-58.862,T,180,,
Q84,61.071,-58.862,T,180,,
Q85,48.498,-71.181,T,180,,
Q86,52.705,-71.181,T,180,,
Q87,56.88,-71.181,T,180,,
Q88,61.087,-71.247,T,180,,
Q89,48.514,-83.566,T,180,,
Q90,52.705,-83.566,T,180,,
Q91,56.88,-83.505,T,180,,
Q92,61.071,-83.5,T,180,,
Q93,48.498,-95.819,T,180,,
Q94,52.689,-95.819,T,180,,
Q95,56.88,-95.819,T,180,,
Q96,61.087,-95.819,T,180,,
Q97,48.498,-108.138,T,180,,
Q98,52.689,-108.138,T,180,,
Q99,56.88,-108.138,T,180,,
Q100,61.071,-108.138,T,180,,
Q101,48.498,-120.457,T,180,,
Q102,52.705,-120.523,T,180,,
Q103,56.88,-120.457,T,180,,
Q104,61.087,-120.523,T,180,,
Q105,48.514,-132.842,T,180,,
Q106,52.705,-132.842,T,180,,
Q107,56.88,-132.776,T,180,,
Q108,61.087,-132.842,T,180,,
Q109,48.514,-145.161,T,180,,
Q110,52.689,-145.161,T,180,,
Q111,56.88,-145.095,T,180,,
Q112,61.087,-145.161,T,180,,
Q113,48.514,-157.48,T,180,,
Q114,52.705,-157.48,T,180,,
Q115,56.88,-157.414,T,180,,
Q116,61.087,-157.48,T,180,,
Q117,48.514,-169.799,T,180,,
Q118,52.705,-169.799,T,180,,
Q119,56.88,-169.733,T,180,,
Q120,61.087,-169.799,T,180,,
R1,40.894,-31.115,T,0,,
R2,67.437,-29.972,T,90,,
R3,42.672,-29.083,T,180,,
R4,44.4245,-31.115,T,180,,
R5,75.819,-33.655,T,270,,
R6,70.612,-30.734,T,0,,
R7,40.9195,-43.307,T,0,,
R8,67.437,-42.3395,T,90,,
R9,42.672,-41.402,T,180,,
R10,44.4755,-43.307,T,180,,
R11,75.946,-45.977,T,270,,
R12,70.7875,-43.18,T,0,,
R13,40.9195,-55.626,T,0,,
R14,67.437,-54.6585,T,90,,
R15,42.6465,-53.721,T,180,,
R16,44.4755,-55.626,T,180,,
R17,75.946,-58.29,T,270,,
R18,70.7875,-55.499,T,0,,
R19,40.9195,-67.945,T,0,,
R20,67.437,-66.9775,T,90,,
R21,42.6465,-66.04,T,180,,
R22,44.4245,-67.945,T,180,,
R23,75.946,-70.615,T,270,,
R24,70.7875,-67.818,T,0,,
R25,40.894,-80.264,T,0,,
R26,67.437,-79.2965,T,90,,
R27,42.672,-78.359,T,180,,
R28,44.4245,-80.264,T,180,,
R29,75.946,-82.934,T,270,,
R30,70.7875,-80.137,T,0,,
R31,40.9195,-92.583,T,0,,
R32,67.437,-91.6455,T,90,,
R33,42.672,-90.678,T,180,,
R34,44.4245,-92.583,T,180,,
R35,75.946,-95.253,T,270,,
R36,70.7875,-92.456,T,0,,
R37,40.9195,-104.902,T,0,,
R38,67.437,-103.9345,T,90,,
R39,42.6465,-102.997,T,180,,
R40,44.4755,-104.902,T,180,,
R41,75.946,-107.569,T,270,,
R42,70.7875,-104.775,T,0,,
R43,40.9195,-117.221,T,0,,
R44,67.437,-116.2535,T,90,,
R45,42.6465,-115.316,T,180,,
R46,44.4755,-117.221,T,180,,
R47,75.946,-119.891,T,270,,
R48,70.7875,-117.094,T,0,,
R49,40.9195,-129.54,T,0,,
R50,67.437,-128.6025,T,90,,
R51,42.672,-127.635,T,180,,
R52,44.4755,-129.54,T,180,,
R53,75.946,-132.21,T,270,,
R54,70.8175,-129.413,T,0,,
R55,40.9195,-141.986,T,0,,
R56,67.437,-140.8915,T,90,,
R57,42.672,-139.954,T,180,,
R58,44.45,-141.986,T,180,,
R59,75.946,-144.529,T,270,,
R60,70.7875,-141.732,T,0,,
R61,40.9195,-154.178,T,0,,
R62,67.437,-153.2405,T,90,,
R63,100.457,-173.065,T,90,,
R64,42.672,-152.273,T,180,,
R65,44.4245,-154.178,T,180,,
R66,75.946,-156.842,T,270,,
R67,70.7875,-154.051,T,0,,
R68,96.3675,-173.863,T,0,,
R69,40.9195,-166.497,T,0,,
R70,67.437,-165.5595,T,90,,
R71,96.3675,-171.577,T,0,,
R72,42.672,-164.592,T,180,,
R73,44.4245,-166.497,T,180,,
R74,75.946,-169.167,T,270,,
R75,70.7875,-166.37,T,0,,
R76,40.894,-33.274,T,0,,
R77,42.672,-35.306,T,180,,
R78,44.45,-33.274,T,180,,
R79,64.516,-33.147,T,90,,
R80,40.9195,-45.593,T,0,,
R81,42.6975,-47.625,T,180,,
R82,44.45,-45.593,T,180,,
R83,40.8685,-57.912,T,0,,
R84,42.6975,-59.944,T,180,,
R85,44.45,-57.912,T,180,,
R86,40.894,-70.231,T,0,,
R87,64.643,-45.475,T,90,,
R88,42.6975,-72.263,T,180,,
R89,44.4245,-70.231,T,180,,
R90,40.894,-82.55,T,0,,
R91,42.6465,-84.582,T,180,,
R92,44.4245,-82.55,T,180,,
R93,40.894,-94.869,T,0,,
R94,42.6975,-96.901,T,180,,
R95,64.643,-57.785,T,90,,
R96,44.4245,-94.869,T,180,,
R97,40.894,-107.188,T,0,,
R98,42.6465,-109.22,T,180,,
R99,44.4755,-107.188,T,180,,
R100,40.9195,-119.507,T,0,,
R101,42.6465,-121.539,T,180,,
R102,44.4245,-119.507,T,180,,
R103,64.643,-70.095,T,90,,
R104,40.894,-131.826,T,0,,
R105,42.6465,-133.858,T,180,,
R106,44.4245,-131.826,T,180,,
R107,40.9195,-144.145,T,0,,
R108,42.6975,-146.177,T,180,,
R109,44.45,-144.145,T,180,,
R110,40.894,-156.464,T,0,,
R111,64.643,-82.414,T,90,,
R112,42.6975,-158.496,T,180,,
R113,44.45,-156.464,T,180,,
R114,40.894,-168.783,T,0,,
R115,42.672,-170.815,T,180,,
R116,44.45,-168.783,T,180,,
R117,104.648,-173.065,T,90,,
R118,99.305,-73.279,T,180,,
R119,64.643,-94.733,T,90,,
R120,99.314,-70.358,T,180,,
R121,119.888,-64.8715,T,90,,
R122,108.077,-51.689,T,0,,
R123,116.586,-62.738,T,180,,
R124,94.996,-30.988,T,90,,
R125,92.71,-31.0135,T,90,,
R126,97.282,-31.0135,T,90,,
R127,64.643,-107.052,T,90,,
R128,95.631,-35.1535,T,90,,
R129,91.059,-35.179,T,90,,
R130,93.345,-35.179,T,90,,
R135,64.643,-119.371,T,90,,
R143,64.643,-131.69,T,90,,
R151,64.643,-144.027,T,90,,
R159,64.643,-156.337,T,90,,
R166,84.6075,-172.593,T,0,,
R168,64.643,-168.665,T,90,,
R172,84.6075,-170.307,T,0,,
U1,90.486,-171.577,T,90,g,
U2,112.141,-34.29,T,0,g,
U3,117.856,-71.182,T,180,g,
VCC1,109.8804,-102.8954,T,270,,
VCC2,104.0267,-124.6886,T,180,g,
VCC3,119.0498,-108.0031,T,270,,
VCC4,120.5992,-136.3749,T,270,,
VCC5,109.8804,-137.1491,T,270,,
VCC6,103.8489,-158.94,T,180,g,
VCC7,119.1514,-142.0767,T,270,,
VCC8,120.587,-123.1392,T,0,g,
VCC9,120.269,-96.523,T,270,,
VCC10,112.649,-88.265,T,180,,
VCC11,90.551,-82.232,T,90,g,
VCC12,121.288,-101.219,T,180,,
VCC13,120.269,-33.782,T,270,,
VCC14,120.269,-39.246,T,270,,
VCC15,91.062,-151.511,T,180,,
VCC16,95.377,-159.515,T,270,,
VCD1,114.428,-103.0478,T,180,,
VCD2,114.4778,-137.4008,T,180,,
VCD3,112.649,-92.71,T,90,,
VCL1,101.1428,-108.2832,T,90,,
VCL2,101.2698,-142.0774,T,90,,
VCL3,107.483,-79.883,T,0,,
VCR1,105.407,-120.015,T,0,,
VCR2,108.2913,-116.7384,T,0,,
VCR3,111.2885,-113.2586,T,0,,
VCR4,105.5481,-153.9616,T,0,,
VCR5,108.4945,-150.8374,T,0,,
VCR6,111.5171,-147.637,T,0,,
VCR7,98.3995,-82.296,T,0,,
VCR8,101.981,-89.535,T,270,,
VCU1,113.03,-108.3056,T,270,g,
VCU2,113.1824,-142.43,T,270,g,
VCU3,107.3404,-91.313,T,180,g,
