Designator,Mid X,Mid Y,Layer,Rotation
C1,87.6554,-56.0324,T,270
C2,81.8017,-77.8256,T,180
C3,96.8248,-61.1401,T,270
C4,98.3742,-89.5119,T,270
C5,87.6554,-90.2861,T,270
C6,81.6239,-112.077,T,180
C7,96.9264,-95.2137,T,270
C8,98.362,-76.2762,T,0
D1,92.203,-56.1848,T,180
D2,92.2528,-90.5378,T,180
L1,78.9178,-61.4202,T,90
L2,79.0448,-95.2144,T,90
R1,83.182,-73.152,T,0
R2,86.0663,-69.8754,T,0
R3,89.0635,-66.3956,T,0
R4,83.3231,-107.0986,T,0
R5,86.2695,-103.9744,T,0
R6,89.2921,-100.774,T,0
U1,90.805,-61.4426,T,270
U2,90.9574,-95.567,T,270
