Designator,Mid X,Mid Y,Layer,Rotation
C1,63.3985,-49.657,T,180
C2,63.3985,-60.071,T,180
C3,63.3985,-70.485,T,180
C4,63.3985,-80.899,T,180
C5,63.3985,-91.313,T,180
C6,63.3475,-101.727,T,180
C7,63.4745,-112.141,T,180
C8,63.3985,-122.555,T,180
C9,63.3985,-132.969,T,180
C10,63.3985,-143.383,T,180
C11,104.775,-143.2075,T,90
C12,63.3985,-153.797,T,180
C13,63.3475,-164.211,T,180
C14,105.283,-101.6,T,270
C15,121.92,-155.448,T,90
C16,119.38,-155.4225,T,90
Q1,47.514,-49.6824,T,180
Q2,51.7746,-49.718,T,180
Q3,60.087,-53.975,T,0
Q4,47.4726,-54.036,T,180
Q5,51.8254,-54.036,T,180
Q6,55.864,-53.975,T,0
Q7,47.514,-60.0964,T,180
Q8,51.7746,-60.132,T,180
Q9,60.087,-64.389,T,0
Q10,47.4726,-64.45,T,180
Q11,51.8,-64.45,T,180
Q12,55.88,-64.389,T,0
Q13,47.514,-70.485,T,180
Q14,51.816,-70.612,T,180
Q15,60.087,-74.864,T,0
Q16,47.482,-74.869,T,180
Q17,51.8,-74.869,T,180
Q18,55.864,-74.803,T,0
Q19,47.482,-80.96,T,180
Q20,51.7746,-80.96,T,180
Q21,60.087,-85.217,T,0
Q22,47.4726,-85.278,T,180
Q23,51.8254,-85.278,T,180
Q24,55.864,-85.217,T,0
Q25,47.514,-91.3384,T,180
Q26,51.8,-91.374,T,180
Q27,60.087,-95.631,T,0
Q28,47.482,-95.692,T,180
Q29,51.8254,-95.692,T,180
Q30,55.896,-95.697,T,0
Q31,47.514,-101.7524,T,180
Q32,51.8,-101.788,T,180
Q33,60.087,-106.045,T,0
Q34,47.4726,-106.106,T,180
Q35,51.8254,-106.106,T,180
Q36,55.864,-106.045,T,0
Q37,47.514,-112.1664,T,180
Q38,51.8,-112.202,T,180
Q39,60.087,-116.525,T,0
Q40,47.482,-116.52,T,180
Q41,51.8254,-116.52,T,180
Q42,55.896,-116.525,T,0
Q43,47.482,-122.616,T,180
Q44,51.8,-122.616,T,180
Q45,60.087,-126.939,T,0
Q46,47.482,-126.939,T,180
Q47,51.8254,-126.934,T,180
Q48,55.896,-126.939,T,0
Q49,47.482,-133.03,T,180
Q50,51.8,-133.03,T,180
Q51,60.087,-137.226,T,0
Q52,47.482,-137.348,T,180
Q53,51.8,-137.348,T,180
