Designator,Mid X,Mid Y,Layer,Rotation
R1,152.0855,-54.483,T,270
R2,154.686,-57.649,T,90
R3,152.0825,-59.312,T,270
R4,154.686,-62.106,T,90
R5,152.0825,-64.138,T,270
R6,154.686,-67.3645,T,90
R7,152.146,-68.964,T,270
R8,154.686,-71.758,T,90
R9,152.146,-73.8505,T,270
R10,154.7495,-77.231,T,90
R11,152.146,-78.74,T,270
R12,154.7495,-81.537,T,90
R13,152.146,-83.6325,T,270
R14,154.7495,-86.9465,T,90
R15,152.146,-88.519,T,270
R16,154.7495,-91.316,T,90
R17,152.146,-93.4115,T,270
R18,154.7495,-96.7255,T,90
R19,152.146,-98.298,T,270
R20,154.7495,-101.095,T,90
R21,152.146,-103.1905,T,270
R22,154.686,-106.441,T,90
R23,152.146,-108.0165,T,270
R24,154.686,-110.8105,T,90
R25,178.689,-106.2505,T,90
R26,178.689,-111.633,T,90
R27,135.255,-54.48,T,270
R28,137.8585,-57.673,T,90
R29,135.255,-59.312,T,270
R30,137.8585,-61.864,T,90
R31,135.255,-64.138,T,270
R32,137.8585,-67.422,T,90
R33,135.255,-68.961,T,270
R34,137.8585,-71.755,T,90
R35,135.255,-73.8505,T,270
R36,137.922,-77.1525,T,90
R37,135.255,-78.74,T,270
R38,137.922,-81.5975,T,90
R39,135.255,-83.6295,T,270
R40,137.922,-86.9315,T,90
R41,135.255,-88.522,T,270
R42,137.922,-91.2645,T,90
R43,135.255,-93.4085,T,270
R44,137.922,-96.7105,T,90
R45,135.255,-98.298,T,270
R46,137.922,-101.077,T,90
R47,135.255,-103.1875,T,270
R48,137.9855,-106.4745,T,90
R49,135.255,-108.0165,T,270
R50,137.9855,-110.7925,T,90
U1,159.5755,-54.036,T,0
U2,161.1405,-61.1505,T,90
U3,161.122,-70.866,T,90
U4,161.163,-80.5815,T,90
U5,161.163,-90.3605,T,90
U6,161.1405,-100.1315,T,90
U7,161.163,-109.855,T,90
U8,174.03,-107.508,T,0
U9,142.8115,-54.0385,T,0
U10,144.358,-61.1505,T,90
U11,144.358,-70.866,T,90
U12,144.358,-80.5815,T,90
U13,144.3765,-90.3605,T,90
U14,144.3765,-100.1395,T,90
U15,144.3765,-109.855,T,90
U16,174.0535,-112.903,T,0
