Designator,Mid X,Mid Y,Layer,Rotation
R1,152.0855,-54.483,T,270
R2,154.686,-57.649,T,90
R3,152.0825,-59.312,T,270
R4,154.686,-62.106,T,90
R5,152.0825,-64.138,T,270
R6,154.686,-67.3645,T,90
R7,152.146,-68.964,T,270
R8,154.686,-71.758,T,90
R9,152.146,-73.8505,T,270
R10,154.7495,-77.231,T,90
R11,152.146,-78.74,T,270
R12,154.7495,-81.537,T,90
R13,152.146,-83.6325,T,270
R14,154.7495,-86.9465,T,90
R15,152.146,-88.519,T,270
R16,154.7495,-91.316,T,90
R17,152.146,-93.4115,T,270
R18,154.7495,-96.7255,T,90
R19,152.146,-98.298,T,270
R20,154.7495,-101.095,T,90
R21,152.146,-103.1905,T,270
R22,154.686,-106.441,T,90
R23,152.146,-108.0165,T,270
R24,154.686,-110.8105,T,90
U1,159.5755,-54.036,T,0
U2,161.1405,-61.1505,T,90
U3,161.122,-70.866,T,90
U4,161.163,-80.5815,T,90
U5,161.163,-90.3605,T,90
U6,161.1405,-100.1315,T,90
U7,161.163,-109.855,T,90
U8,174.03,-110.2385,T,180
